,subaru,cadillac,bmw,mercury,lincoln,volkswagen,toyota,infiniti,pontiac,chevrolet,volvo,audi,suzuki,honda,nissan,acura,ford,benz,seat,mazda,buick,problem,mitsubishi,sedan,kia,dodge,chrysler,saturn
volvo,1.3217952056339084,1.2750810342543861,1.821640903686088,1.8752210843039736,1.3063074063012075,1.3208282318050395,1.2637359481178954,1.2481564201236457,1.2443485527759421,1.6308909565136256,1.0,1.272025480920536,1.3193229034456038,1.3270056617848751,1.2327955311749041,1.3695813668290036,1.519957310406112,1.83505920290608,1.2643959976544892,1.349851814061883,1.401380579780036,2.080856123662307,1.2304918365906843,1.2836804388612704,1.276192739894986,1.9945204249603776,1.6652641212328831,1.2650384752955735
audi,1.250590957451338,1.275794454019313,1.260041194644696,1.2647748464941693,1.2469975796248118,1.2494498461753525,1.2356167662099171,1.2277040689767917,1.2436833722710536,1.2410684665724743,1.272025480920536,1.0,1.2528935711337728,1.2577387928075097,1.2307675489720278,1.271254387221085,1.2501124696655557,1.2550451774602633,1.2330672279236508,1.2837507529140855,1.282477606312688,1.2631951596292479,1.2191778772280901,1.2478418445350399,1.283999315200365,1.2613761326428679,1.2380610423219789,1.2323855215895103
suzuki,1.252340377979874,1.251293940010509,1.2808988764044944,1.2965956745909224,1.264358392000971,1.2514418709683643,1.2212994626282363,1.2321183755301224,1.2292306376832354,1.2516147947748653,1.3193229034456038,1.2528935711337728,1.0,1.2357104884789307,1.2336027579870823,1.2407174509916605,1.25438066383977,1.2645644054501912,1.234694207514495,1.2505236567812772,1.3255840990754595,1.3023819078193073,1.2308944561198807,1.2432723011136069,1.2579526017867915,1.2899852386208726,1.3152735936625595,1.2339622292691625
honda,1.281639106256545,1.2571357771669507,1.2723870622828122,1.2843781400863201,1.232024789985697,1.2777218877798764,1.2478460891953047,1.219083369775326,1.2425733003286672,1.2589837546588347,1.3270056617848751,1.2577387928075097,1.2357104884789307,1.0,1.2266747855513151,1.317251513726384,1.2743763326557382,1.2808518221509402,1.2449041403448182,1.3183188530231784,1.2477484886462253,1.2923874441516783,1.2160844896667704,1.267155839282588,1.2583281179854955,1.303858561276364,1.2630638282515942,1.2448575768837078
nissan,1.232617021743114,1.2298381297863255,1.220933102937546,1.2259069228939936,1.2212640596481226,1.230663756091802,1.2160614509273229,1.2144852677683522,1.219184886587803,1.216764524648353,1.2327955311749041,1.2307675489720278,1.2336027579870823,1.2266747855513151,1.0,1.2274118368541862,1.222626471631885,1.221780710184628,1.222039614518746,1.2325460286741925,1.2306824569277253,1.2276510209119442,1.220586257061909,1.2300561651217556,1.232345594703266,1.2284386512972048,1.2286801870445487,1.222033403375258
acura,1.315551109678836,1.2715254004789718,1.3039134054954205,1.3241763993079354,1.2408476524083185,1.3067936493360517,1.2592975074659865,1.2237340190135328,1.2403442572891243,1.2824972119526359,1.3695813668290036,1.271254387221085,1.2407174509916605,1.317251513726384,1.2274118368541862,1.0,1.2935306198671999,1.323735075139649,1.2587557882679732,1.354139589666745,1.2597083901892991,1.3307362911859164,1.2155046312537576,1.289856192495882,1.2713095264274994,1.327603325938047,1.2940580908471273,1.2593953999490037
ford,1.2670464480869736,1.2494255861435686,1.3746071653048397,1.4111385704283932,1.2573192612870778,1.2630697727740814,1.2441263572124093,1.2294526012777809,1.232860419515722,1.334057817392301,1.519957310406112,1.2501124696655557,1.25438066383977,1.2743763326557382,1.222626471631885,1.2935306198671999,1.0,1.384456255759033,1.240950636819157,1.289774458233518,1.2909867788731109,1.4226227889018588,1.218455016064724,1.2536926873337406,1.2499100813385495,1.4702230289910994,1.3406133229408466,1.2415812011671343
benz,1.2818952367880627,1.2529575807300406,1.5493527508090614,1.5465930488375421,1.267487060980826,1.277296173130579,1.250208796697433,1.2326337402543945,1.2274094137561835,1.4251272677996194,1.83505920290608,1.2550451774602633,1.2645644054501912,1.2808518221509402,1.221780710184628,1.323735075139649,1.384456255759033,1.0,1.241430686974973,1.3225476477336373,1.3278982802925108,1.628958622283865,1.2187721391179336,1.2701247151102308,1.2580047228074058,1.6035452928656813,1.4181096900455596,1.241547609650854
seat,1.2673093390334933,1.2309881264594817,1.2422549517521586,1.2474315652065397,1.2185317925475196,1.263621122090171,1.2380429585088062,1.2178628531929434,1.2253631107648482,1.2604703601504157,1.2643959976544892,1.2330672279236508,1.234694207514495,1.2449041403448182,1.222039614518746,1.2587557882679732,1.240950636819157,1.241430686974973,1.0,1.2566087658653482,1.228057225256636,1.2509749328883406,1.219343057979825,1.2530350479628793,1.2348312357859617,1.2506157757554406,1.2630533180795016,1.2690348780074903
mazda,1.3110526375944733,1.2772033628390465,1.327212020033389,1.328600457375417,1.2443212504135528,1.303427239106535,1.2567913780078983,1.2261018127079324,1.245184534960689,1.2682785776418586,1.349851814061883,1.2837507529140855,1.2505236567812772,1.3183188530231784,1.2325460286741925,1.354139589666745,1.289774458233518,1.3225476477336373,1.2566087658653482,1.0,1.2717421082973766,1.3452480324350107,1.2202613538090585,1.2981929038054743,1.2871011499400433,1.3273469033068364,1.2813244373499637,1.2568938293723506
